 母公司	 最終母公司	 NPI/PI	 DRSK'		 產品代碼	 發行人	 證券名稱	 幣別	" 參考賣出價
"		" 參考買入價
"	 前手息	 1日價格變動	 利差	 指標	 五日價格變動			 參考買回殖利率	 參考到期殖利率	" 距買
回年"	" 距到
期年"	 穆迪	 穆迪評價日	 標普	 標普評價日	 惠譽	 惠譽評價日	 票息	 配息頻率	 下一配息日	" 票息
Type"	" 浮動
SPREAD"	" 發行日
Issue Date"	 下一買回日	 到期日	" Bullet/
Callable"	 償債順位	 最小單位	 涉險國家	 行業	 產業	 PERPETUAL	" COCO
SECURITY"	" BASEL
III"	" COCO
ACTION"	" COCO
TRIGGER"	" TRIGGER
LEVEL"	" TRIGGER
TYPE"	 WRITE_DOWN_TYPE	" 美國
所得"	 國家	" OBU之
PI /NPI"	 上季風險	 風險等級	 風險變動	" OBU之
PI /NPI"	 風險等級	 outstanding (MM)	 償債順位
				 [NEW-LINE]	 US458140CG35	 英特爾	INTC 5.2 02/10/33	USD	99.96811676		104.9 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.217 	70 	T 4 02/15/34	(0.60)			4.50 	4.52 	8.6 	8.9 	A3	2024/2/8	A-	2024/2/9	A-	2023/2/7	5.2	2	2024/8/10	FIXED		2023/2/7	2032/11/10	2033/2/10	C	Sr Unsecured	2000	US	Semiconductors	Technology	N								Y	US	NPI	穩健型	保守型	Y	NPI	穩健型	  2,250 	 優先無擔保
				 [NEW-LINE]	 US606822CT96	 三菱UFJ金融集團公司	MUFG 5.475 02/22/31	USD	100.288		105.6 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.271 						4.38 	4.52 	5.9 	6.9 	A1	2023/2/16	A-	2023/2/15	A-	2023/2/15	5.475	2	2024/8/22	VARIABLE	153	2023/2/15	2030/2/22	2031/2/22	C	Sr Unsecured	200000	JP	Banks	Financial	N									JN	NPI	穩健型	保守型	Y	NPI	積極型	  500 	 優先無擔保
				 [NEW-LINE]	 US594918CC64	 微軟	MSFT 2.525 06/01/50	USD	64.12915039		69.6 	#N/A Optional parameter [SETTLE_DT] has invalid date format	(0.038)	37 	T 4 3/4 11/15/53	(0.98)			4.54 	4.52 	25.7 	26.2 	Aaa	2020/5/1	AAA	2020/4/30	WD	2023/1/24	2.525	2	2024/6/1	FIXED		2020/4/30	2049/12/1	2050/6/1	C	Sr Unsecured	2000	US	Software	Technology	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  6,250 	 優先無擔保
				 [NEW-LINE]	 US78016HZQ63	 加拿大皇家銀行	RY 5 05/02/33	USD	98.19848633		103.6 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.237 							4.51 		9.1 	A1	2023/4/27	A	2023/4/27	AA-	2023/5/3	5	2	2024/5/2	FIXED		2023/4/24		2033/5/2	B	Sr Unsecured	2000	CA	Banks	Financial	N									CA	NPI	穩健型	保守型	Y	NPI	積極型	  900 	 優先無擔保
				 [NEW-LINE]	 US172967MP39	 花旗集團	C 4.412 03/31/31	USD	94.3274765		99.4 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.127 						4.52 	4.51 	6.0 	7.0 	A3	2020/4/7	BBB+	2020/4/7	A	2020/4/6	4.412	2	2024/3/31	VARIABLE	391.4	2020/3/24	2030/3/31	2031/3/31	C	Sr Unsecured	1000	US	Banks	Financial	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  4,000 	 優先無擔保
TSMC	Taiwan Semiconductor Manufactu	NPI	 	 [NEW-LINE]	 US872898AJ06	 TSMC Arizona Corp	TAISEM 4 1/2 04/22/52	USD	93.441		99.9 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.203 	29 	T 4 3/4 11/15/53	(1.87)			4.51 	4.51 	27.6 	28.1 	Aa3	2022/4/19	AA-	2022/4/19		#VALUE!	4.5	2	2024/4/22	FIXED		2022/4/19	2051/10/22	2052/4/22	C	Sr Unsecured	200000	TW	Semiconductors	Technology	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  1,000 	 優先無擔保
	National Australia Bank Ltd	PI	 	 [NEW-LINE]	 USG6S94TAB96	 澳洲國民銀行	NAB 3.933 08/02/34	USD	90.39052582		95.4 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.210 	140 	T 4 1/4 02/28/29	(0.38)			4.91 	4.49 	5.4 	10.4 	A3	2024/3/6	BBB+	2019/10/24	A-	2020/4/7	3.933	2	2024/8/2	VARIABLE	188	2019/7/29	2029/8/2	2034/8/2	C	Subordinated	250000	AU	Banks	Financial	N		Tier 2	Equity Conversion			Discretionary			AU	NPI	穩健型	保守型	Y	PI	積極型	  1,500 	 次順位
Kingdom of Saudi Arabia	Kingdom of Saudi Arabia	NPI	 	 [NEW-LINE]	 XS2577135127	 Saudi Government Internation	KSA 4 7/8 07/18/33	USD	97.9 		102.9 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.052 	66 	T 4 02/15/34	(0.83)				4.49 		9.3 	A1	2023/1/16		#VALUE!	A+	2023/4/5	4.875	2	2024/7/18	FIXED		2023/1/10		2033/7/18	B	Sr Unsecured	200000	SA	Sovereign	Government	N									SR	NPI	穩健型	保守型	Y	NPI	穩健型	  3,500 	 優先無擔保
				 [NEW-LINE]	 US69370RAH03	 印尼國家石油有限公司	PERTIJ 3.1 08/27/30	USD	87.1 		92.4 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.238 	86 	T 4 1/4 02/28/29	(0.51)			4.54 	4.48 	6.2 	6.4 	Baa2	2020/2/13		#VALUE!	BBB	2020/2/12	3.1	2	2024/8/25	FIXED		2020/2/13	2030/5/25	2030/8/27	C	Sr Unsecured	200000	ID	Oil&Gas	Energy	N									ID	NPI	穩健型	保守型	Y	NPI	穩健型	  650 	 優先無擔保
	Amazon.com Inc	NPI	 	 [NEW-LINE]	 US023135BF28	 亞馬遜公司	AMZN 3 7/8 08/22/37	USD	88.98655701		93.9 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.236 	56 	T 4 02/15/34	(0.96)			4.50 	4.48 	12.9 	13.4 	A1	2021/5/10	AA	2021/6/10	AA-	2021/6/7	3.875	2	2024/8/22	FIXED		2018/5/7	2037/2/22	2037/8/22	C	Sr Unsecured	2000	US	Internet	Communications	N								Y	US	NPI	穩健型	保守型	Y	NPI	穩健型	  2,750 	 優先無擔保
				 [NEW-LINE]	 US71568QAG29	 國家電力公司	PLNIJ 5 3/8 01/25/29	USD	98.8 		103.8 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.253 	100 	T 4 1/4 02/28/29	(0.28)				4.48 		4.9 	Baa2	2018/10/12	BBB	2019/5/31	BBB	2018/10/29	5.375	2	2024/7/25	FIXED		2018/10/18		2029/1/25	B	Sr Unsecured	200000	ID	Electric	Utilities	N									ID	NPI	穩健型	保守型	Y	NPI	穩健型	  500 	 優先無擔保
BP PLC	BP PLC	NPI	 	 [NEW-LINE]	 US10373QBV14	 BP資本市場美國公司	BPLN 4.893 09/11/33	USD	97.8 		103.2 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.231 	64 	T 4 02/15/34	(0.49)			4.47 	4.48 	9.2 	9.5 	A2	2023/5/11	A-	2023/5/10	A+	2023/11/29	4.893	2	2024/9/11	FIXED		2023/5/9	2033/6/11	2033/9/11	C	Sr Unsecured	1000	US	Oil&Gas	Energy	N								Y	US	NPI	穩健型	保守型	Y	NPI	穩健型	  1,500 	 優先無擔保
				 [NEW-LINE]	 US83368TBQ04	 法國興業銀行股份有限公司	SOCGEN 6.447 01/12/27	USD	100.2745743		105.1 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.085 						3.48 	4.48 	1.8 	2.8 	Baa2	2023/1/4	BBB	2023/1/4	A-	2023/1/5	6.447	2	2024/7/12	VARIABLE	230	2023/1/3	2026/1/12	2027/1/12	C	Sr Non Preferred	200000	FR	Banks	Financial	N									FR	NPI	穩健型	保守型	Y	NPI	積極型	  1,250 	 主順位非優先受償無擔保
	Johnson & Johnson	NPI	 	 [NEW-LINE]	 US478160AT19	 嬌生公司	JNJ 5.85 07/15/38	USD	107.874		114.4 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.255 	49 	T 4 02/15/34	(1.30)				4.47 		14.3 	Aaa	2008/6/18	AAA	2008/6/19	WD	2019/9/4	5.85	2	2024/7/15	FIXED		2008/6/18		2038/7/15	B	Sr Unsecured	2000	US	Pharmaceuticals	Consumer, Non-cyclical	N								Y	US	NPI	穩健型	保守型	Y	NPI	穩健型	  700 	 優先無擔保
Pfizer Inc	Pfizer Inc	NPI	 	 [NEW-LINE]	 US716973AE24	 Pfizer Investment Enterprise	PFE 4 3/4 05/19/33	USD	97.162		102.1 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.280 	65 	T 4 02/15/34	(0.55)			4.47 	4.47 	8.9 	9.2 	A2	2023/12/13	A	2023/12/13	Au	2023/8/15	4.75	2	2024/5/19	FIXED		2023/5/16	2033/2/19	2033/5/19	C	Sr Unsecured	2000	US	Pharmaceuticals	Consumer, Non-cyclical	N									SI	NPI	穩健型	保守型	Y	NPI	穩健型	  5,000 	 優先無擔保
				 [NEW-LINE]	 US60687YCZ07	 瑞穗金融集團	MIZUHO 5.778 07/06/29	USD	101.208		106.1 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.187 						4.21 	4.47 	4.3 	5.3 	A1	2023/6/30	A-	2023/6/29		#VALUE!	5.778	2	2024/7/6	VARIABLE	165	2023/6/29	2028/7/6	2029/7/6	C	Sr Unsecured	200000	JP	Banks	Financial	N									JN	NPI	穩健型	保守型	Y	0	積極型	  1,400 	 優先無擔保
				 [NEW-LINE]	 USG84228FU76	 渣打集團有限公司	STANLN 6.187 07/06/27	USD	100.2434006		105.2 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.103 						3.78 	4.46 	2.3 	3.3 	A3	2023/7/3	BBB+	2023/6/29	A	2023/7/3	6.187	2	2024/7/6	VARIABLE	185	2023/6/28	2026/7/6	2027/7/6	C	Sr Unsecured	200000	GB	Banks	Financial	N									EN	NPI	穩健型	保守型	Y	NPI	積極型	  1,000 	 優先無擔保
				 [NEW-LINE]	 US459200KY61	 國際商業機器	IBM 4 3/4 02/06/33	USD	97.0383606		102.1 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.154 	65 	T 4 02/15/34	(0.57)			4.45 	4.45 	8.6 	8.9 	A3	2023/2/1	A-	2023/2/21	A-	2023/11/29	4.75	2	2024/8/6	FIXED		2023/1/30	2032/11/6	2033/2/6	C	Sr Unsecured	100000	US	Computers	Technology	N								Y	US	NPI	穩健型	保守型	Y	NPI	穩健型	  750 	 優先無擔保
				 [NEW-LINE]	 US639057AF59	 國民西敏集團公開有限公司	NWG 5.516 09/30/28	USD	99.31595612		104.3 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.220 						4.19 	4.45 	3.5 	4.5 	A3	2022/9/22	BBB+	2023/4/12	A	2022/6/30	5.516	2	2024/3/30	VARIABLE	227	2022/6/27	2027/9/30	2028/9/30	C	Sr Unsecured	200000	GB	Banks	Financial	N									EN	NPI	穩健型	保守型	Y	NPI	積極型	  1,000 	 優先無擔保
	NatWest Group PLC	PI	 	 [NEW-LINE]	 US639057AB46	 國民西敏集團公開有限公司	NWG 3.032 11/28/35	USD	82.073		87.2 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.355 	184 	T 4 1/4 02/28/29	(0.51)			5.42 	4.45 	6.4 	11.7 	Baa1	2022/9/22	BBB-	2023/4/12	BBB+	2020/8/26	3.032	2	2024/5/28	VARIABLE	235	2020/8/25	2030/8/28	2035/11/28	C	Subordinated	200000	GB	Banks	Financial	N		Tier 2							EN	NPI	穩健型	保守型	Y	PI	積極型	  850 	 次順位
				 [NEW-LINE]	 US686330AR22	 歐力士公司	ORIX 5.2 09/13/32	USD	100.1486664		105.3 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.175 							4.45 		8.5 	A3	2022/9/7	A-	2023/9/21	A-	2022/9/6	5.2	2	2024/9/13	FIXED		2022/9/6		2032/9/13	B	Sr Unsecured	2000	JP	Diversified Finan Serv	Financial	N									JN	NPI	穩健型	保守型	Y	NPI	保守型	  500 	 優先無擔保
				 [NEW-LINE]	 US78016FZQ08	 加拿大皇家銀行	RY 3 7/8 05/04/32	USD	90.68154907		96.2 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.219 							4.44 		8.1 	A1	2022/4/12	A	2022/4/12	AA-	2022/4/12	3.875	2	2024/5/4	FIXED		2022/4/7		2032/5/4	B	Sr Unsecured	2000	CA	Banks	Financial	N									CA	NPI	穩健型	保守型	Y	NPI	積極型	  1,000 	 優先無擔保
				 [NEW-LINE]	 US404280DQ93	 匯豐控股有限公司	HSBC 7.336 11/03/26	USD	102.2775421		107.1 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.065 						2.80 	4.43 	1.6 	2.6 	A3	2022/10/31	A-	2022/10/31	A+	2022/10/31	7.336	2	2024/5/3	VARIABLE	303	2022/10/26	2025/11/3	2026/11/3	C	Sr Unsecured	200000	GB	Banks	Financial	N									EN	NPI	穩健型	保守型	Y	NPI	積極型	  1,750 	 優先無擔保
	AT&T Inc	NPI	 	 [NEW-LINE]	 US00206RJY99	 AT&T公司	T 2 3/4 06/01/31	USD	84.83791351		89.8 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.185 	76 	T 4 02/15/34	(0.36)			4.48 	4.43 	6.9 	7.2 	Baa2	2020/5/21	BBB	2020/5/21	BBB+	2021/3/12	2.75	2	2024/6/1	FIXED		2020/5/21	2031/3/1	2031/6/1	C	Sr Unsecured	2000	US	Telecommunications	Communications	N								Y	US	NPI	穩健型	保守型	Y	NPI	穩健型	  3,000 	 優先無擔保
				 [NEW-LINE]	 USF2R125CE38	 法國農業信貸銀行有限責任公司	ACAFP 4 01/10/33	USD	91.964		96.9 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.154 						4.90 	4.43 	3.8 	8.8 	Baa1	2019/9/19	BBB+	2018/10/19	A-	2020/3/30	4	2	2024/7/10	VARIABLE	164.4	2018/1/3	2028/1/10	2033/1/10	C	Subordinated	250000	FR	Banks	Financial	N		Tier 2							FR	NPI	穩健型	保守型	Y	PI	積極型	  1,250 	 次順位
				 [NEW-LINE]	 US404280CK33	 匯豐控股有限公司	HSBC 2.357 08/18/31	USD	82.06562805		87.1 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.271 						4.72 	4.43 	6.4 	7.4 	A3	2021/6/8	A-	2020/8/12	A+	2020/8/11	2.357	2	2024/8/18	VARIABLE	194.7	2020/8/11	2030/8/18	2031/8/18	C	Sr Unsecured	200000	GB	Banks	Financial	N									EN	NPI	穩健型	保守型	Y	0	積極型	  1,500 	 優先無擔保
				 [NEW-LINE]	 US594918AX20	 微軟	MSFT 4 7/8 12/15/43	USD	99.807		106.0 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.252 	13 	T 4 1/2 02/15/44	(1.91)			4.41 	4.42 	19.2 	19.7 	Aaa	2016/7/25	AAA	2013/12/4	WD	2023/1/24	4.875	2	2024/6/15	FIXED		2013/12/3	2043/6/15	2043/12/15	C	Sr Unsecured	2000	US	Software	Technology	N								Y	US	NPI	穩健型	保守型	Y	NPI	穩健型	  146 	 優先無擔保
				 [NEW-LINE]	 US61747YEV39	 摩根士丹利	MS 6.296 10/18/28	USD	102.8204803		107.8 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.104 						3.94 	4.40 	3.6 	4.6 	A1	2022/10/18	A-	2022/10/14	A+	2022/11/4	6.296	2	2024/4/18	VARIABLE	224	2022/10/14	2027/10/18	2028/10/18	C	Sr Unsecured	1000	US	Banks	Financial	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  2,250 	 優先無擔保
				 [NEW-LINE]	 US404280BT50	 匯豐控股有限公司	HSBC 4.583 06/19/29	USD	95.99139404		100.9 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.228 						4.36 	4.40 	4.2 	5.2 	A3	2021/6/8	A-	2020/5/13	A+	2019/12/5	4.583	2	2024/6/19	VARIABLE	179.616	2018/6/12	2028/6/19	2029/6/19	C	Sr Unsecured	200000	GB	Banks	Financial	N									EN	NPI	穩健型	保守型	Y	0	積極型	  3,000 	 優先無擔保
				 [NEW-LINE]	 US06051GLC14	 美國銀行	BAC 6.204 11/10/28	USD	102.5583344		107.5 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.104 						3.95 	4.38 	3.6 	4.6 	A1	2023/5/3	A-	2022/11/7	AA-	2022/11/9	6.204	2	2024/5/10	VARIABLE	199	2022/11/7	2027/11/10	2028/11/10	C	Sr Unsecured	2000	US	Banks	Financial	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  2,000 	 優先無擔保
				 [NEW-LINE]	 US404280CF48	 匯豐控股有限公司	HSBC 4.95 03/31/30	USD	97.78089905		103.0 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.315 							4.38 		6.0 	A3	2021/6/8	A-	2020/5/13	A+	2020/3/27	4.95	2	2024/3/31	FIXED		2020/3/25		2030/3/31	B	Sr Unsecured	200000	GB	Banks	Financial	N									EN	NPI	穩健型	保守型	Y	NPI	積極型	  2,500 	 優先無擔保
				 [NEW-LINE]	 USG84228FH65	 渣打集團有限公司	STANLN 7.776 11/16/25	USD	100.6134338		105.3 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.017 						(0.53)	4.38 	0.7 	1.7 	A3	2022/11/11	BBB+	2022/11/9	A	2022/11/10	7.776	2	2024/5/16	VARIABLE	310	2022/11/8	2024/11/16	2025/11/16	C	Sr Unsecured	200000	GB	Banks	Financial	N									EN	NPI	穩健型	保守型	Y	NPI	積極型	  1,000 	 優先無擔保
				 [NEW-LINE]	 US83368TAM09	 法國興業銀行股份有限公司	SOCGEN 4 3/4 09/14/28	USD	96.429		101.5 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.317 							4.37 		4.5 	Baa2	2018/9/12	BBB	2020/5/15	A-	2020/5/28	4.75	2	2024/9/14	FIXED		2018/9/10		2028/9/14	B	Sr Non Preferred	200000	FR	Banks	Financial	N									FR	NPI	穩健型	保守型	Y	NPI	積極型	  750 	 主順位非優先受償無擔保
				 [NEW-LINE]	 US83368TAM09	 法國興業銀行股份有限公司	SOCGEN 4 3/4 09/14/28	USD	96.429		101.5 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.317 							4.37 		4.5 	Baa2	2018/9/12	BBB	2020/5/15	A-	2020/5/28	4.75	2	2024/9/14	FIXED		2018/9/10		2028/9/14	B	Sr Non Preferred	200000	FR	Banks	Financial	N									FR	NPI	穩健型	保守型	Y	0	積極型	  750 	 主順位非優先受償無擔保
				 [NEW-LINE]	 US71568QAE70	 國家電力公司	PLNIJ 5.45 05/21/28	USD	99.1 		104.1 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.123 	100 	T 4 1/4 02/28/29	(0.32)				4.37 		4.2 	Baa2	2018/4/25		#VALUE!	BBB	2018/5/21	5.45	2	2024/5/21	FIXED		2018/5/15		2028/5/21	B	Sr Unsecured	200000	ID	Electric	Utilities	N									ID	NPI	穩健型	保守型	Y	NPI	穩健型	  1,000 	 優先無擔保
				 [NEW-LINE]	 US68389XBV64	 甲骨文公司	ORCL 2.95 04/01/30	USD	87.73490143		92.6 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.159 	77 	T 4 1/4 02/28/29	(0.73)			4.41 	4.36 	5.8 	6.0 	Baa2	2022/11/7	BBB	2022/9/22	BBB	2022/11/7	2.95	2	2024/4/1	FIXED		2020/3/30	2030/1/1	2030/4/1	C	Sr Unsecured	2000	US	Software	Technology	N								Y	US	NPI	穩健型	保守型	Y	NPI	穩健型	  3,250 	 優先無擔保
				 [NEW-LINE]	 US458140CA64	 英特爾	INTC 4.15 08/05/32	USD	93.75109863		98.6 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.213 	57 	T 4 02/15/34	(0.68)			4.35 	4.34 	8.1 	8.4 	A3	2024/2/8	A-	2024/2/9	A-	2023/2/2	4.15	2	2024/8/5	FIXED		2022/8/2	2032/5/5	2032/8/5	C	Sr Unsecured	2000	US	Semiconductors	Technology	N								Y	US	NPI	穩健型	保守型	Y	NPI	穩健型	  1,250 	 優先無擔保
	Commonwealth Bank of Australia	PI	 	 [NEW-LINE]	 USQ2704MAA64	 澳洲聯邦銀行	CBAAU 3.61 09/12/34	USD	88.93501282		93.9 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.199 	137 	T 4 1/4 02/28/29	(0.40)			4.89 	4.34 	5.5 	10.5 	Baa1 *+	2024/3/6	BBB+	2019/10/24	A-	2020/4/7	3.61	2	2024/9/12	VARIABLE	205	2019/9/5	2029/9/12	2034/9/12	C	Subordinated	200000	AU	Banks	Financial	N		Tier 2	Equity Conversion			Discretionary			AU	NPI	穩健型	保守型	Y	PI	積極型	  1,250 	 次順位
				 [NEW-LINE]	 US747525AJ27	 高通公司	QCOM 4.65 05/20/35	USD	97.55065155		102.7 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.207 	44 	T 4 02/15/34	(0.85)			4.33 	4.34 	10.7 	11.2 	A2	2018/7/26	A	2021/12/9		#VALUE!	4.65	2	2024/5/20	FIXED		2015/5/13	2034/11/20	2035/5/20	C	Sr Unsecured	2000	US	Semiconductors	Technology	N								Y	US	NPI	穩健型	保守型	Y	NPI	穩健型	  1,000 	 優先無擔保
				 [NEW-LINE]	 US86562MCW82	 三井住友金融集團公司	SUMIBK 5.71 01/13/30	USD	101.9240341		107.0 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.274 							4.34 		5.8 	A1	2023/1/4	A-	2023/1/4		#VALUE!	5.71	2	2024/7/13	FIXED		2023/1/3		2030/1/13	B	Sr Unsecured	200000	JP	Banks	Financial	N									JN	NPI	穩健型	保守型	Y	NPI	積極型	  1,350 	 優先無擔保
				 [NEW-LINE]	 US61747YFD22	 摩根士丹利	MS 5.164 04/20/29	USD	98.97489166		103.8 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.040 						4.13 	4.31 	4.1 	5.1 	A1	2023/4/20	A-	2023/4/19	A+	2023/4/20	5.164	2	2024/4/20	VARIABLE	159	2023/4/19	2028/4/20	2029/4/20	C	Sr Unsecured	1000	US	Banks	Financial	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  2,750 	 優先無擔保
				 [NEW-LINE]	 US06051GLG28	 美國銀行	BAC 5.202 04/25/29	USD	98.969		104.0 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.145 						4.12 	4.31 	4.1 	5.1 	A1	2023/5/3	A-	2023/4/19	AA-	2023/4/25	5.202	2	2024/4/25	VARIABLE	163	2023/4/19	2028/4/25	2029/4/25	C	Sr Unsecured	2000	US	Banks	Financial	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  3,500 	 優先無擔保
Indonesia Ministry of State En	Republic of Indonesia	NPI	 	 [NEW-LINE]	 US69370RAD98	 印尼國家石油有限公司	PERTIJ 3.65 07/30/29	USD	91.8 		96.9 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.196 	77 	T 4 1/4 02/28/29	(0.32)				4.30 		5.4 	Baa2	2019/7/23		#VALUE!	BBB	2019/7/24	3.65	2	2024/7/30	FIXED		2019/7/23		2029/7/30	B	Sr Unsecured	200000	ID	Oil&Gas	Energy	N									ID	NPI	穩健型	保守型	Y	NPI	穩健型	  750 	 優先無擔保
Indonesia Ministry of State En	Republic of Indonesia	NPI	 	 [NEW-LINE]	 US69370RAD98	 印尼國家石油有限公司	PERTIJ 3.65 07/30/29	USD	91.8 		96.9 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.196 	77 	T 4 1/4 02/28/29	(0.32)				4.30 		5.4 	Baa2	2019/7/23		#VALUE!	BBB	2019/7/24	3.65	2	2024/7/30	FIXED		2019/7/23		2029/7/30	B	Sr Unsecured	200000	ID	Oil&Gas	Energy	N									ID	NPI	穩健型	保守型	Y	NPI	穩健型	  750 	 優先無擔保
				 [NEW-LINE]	 US594918AM64	 微軟	MSFT 5.3 02/08/41	USD	106.5904922		112.1 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.018 	2 	T 4 1/2 02/15/44	(1.03)				4.29 		16.9 	Aaa	2016/7/25	AAA	2011/2/4	WD	2023/1/24	5.3	2	2024/8/8	FIXED		2011/2/3		2041/2/8	B	Sr Unsecured	2000	US	Software	Technology	N								Y	US	NPI	穩健型	保守型	Y	NPI	保守型	  718 	 優先無擔保
				 [NEW-LINE]	 US46647PDF09	 摩根大通銀行	JPM 4.565 06/14/30	USD	96.50186157		101.6 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.218 						4.23 	4.28 	5.2 	6.2 	A1	2022/9/29	A-	2022/6/8	AA-	2022/6/14	4.565	2	2024/6/14	VARIABLE	175	2022/6/7	2029/6/14	2030/6/14	C	Sr Unsecured	2000	US	Banks	Financial	N								Y	US	NPI	穩健型	保守型	Y	NPI	積極型	  2,000 	 優先無擔保
	Amazon.com Inc	NPI	 	 [NEW-LINE]	 US023135AP19	 亞馬遜公司	AMZN 4.8 12/05/34	USD	99.45467377		104.5 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.281 	38 	T 4 02/15/34	(0.56)			4.25 	4.27 	10.2 	10.7 	A1	2021/5/10	AA	2021/6/10	AA-	2021/6/7	4.8	2	2024/6/5	FIXED		2014/12/2	2034/6/5	2034/12/5	C	Sr Unsecured	2000	US	Internet	Communications	N								Y	US	NPI	穩健型	保守型	Y	NPI	保守型	  1,250 	 優先無擔保
				 [NEW-LINE]	 US404280DG12	 匯豐控股有限公司	HSBC 5.21 08/11/28	USD	98.85936737		103.7 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.231 						4.01 	4.26 	3.4 	4.4 	A3	2022/8/8	A-	2022/8/8	A+	2022/8/8	5.21	2	2024/8/11	VARIABLE	261	2022/8/4	2027/8/11	2028/8/11	C	Sr Unsecured	200000	GB	Banks	Financial	N									EN	NPI	穩健型	保守型	Y	0	積極型	  2,250 	 優先無擔保
				 [NEW-LINE]	 US747525BS17	 高通公司	QCOM 5.4 05/20/33	USD	103.5204391		108.5 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.074 	41 	T 4 02/15/34	(0.60)			4.24 	4.26 	8.9 	9.2 	A2	2022/11/8	A	2022/11/7		#VALUE!	5.4	2	2024/5/20	FIXED		2022/11/7	2033/2/20	2033/5/20	C	Sr Unsecured	2000	US	Semiconductors	Technology	N								Y	US	NPI	穩健型	保守型	Y	NPI	穩健型	  700 	 優先無擔保
United States of America	United States of America	NPI	 	 [NEW-LINE]	 US912810RP57	 美國國庫債券	T 3 11/15/45	USD	77.7 		82.3 	#N/A Optional parameter [SETTLE_DT] has invalid date format	0.305 	0 	T 4 1/2 02/15/44	(1.45)				4.26 		21.7 	Aaa	2015/11/16		#VALUE!	AA+u	2023/8/1	3	2	2024/5/15	FIXED				2045/11/15	B	Unsecured	100	US	Sovereign	Government	N								Y	US	NPI	穩健型	防禦型	Y	NPI	保守型	  42,077 	 優先無擔保
